"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptprz1",8.23174493773805e-28,1.19185075261582,0.914,0.44,2.3047239476679e-23,"radial glia","Ptprz1"
"Gins2",1.03445410048693e-27,0.53798168726131,0.5,0.085,2.89626459054331e-23,"radial glia","Gins2"
"Uaca",1.28293331348137e-27,0.289297279967484,0.357,0.038,3.59195669108513e-23,"radial glia","Uaca"
"Wipi1",2.28913390897721e-27,0.295298337281522,0.357,0.04,6.4091171183544e-23,"radial glia","Wipi1"
"Hmgn3",3.23824769051455e-27,1.00344617822188,0.929,0.558,9.06644588390262e-23,"radial glia","Hmgn3"
"Cpne2",3.65581115529795e-27,0.324064654950977,0.414,0.054,1.02355400726032e-22,"radial glia","Cpne2"
"Gli3",3.8047912623752e-27,0.305822061876521,0.386,0.047,1.06526545763981e-22,"radial glia","Gli3"
"Parva",4.87219883935495e-27,0.27791629528973,0.386,0.047,1.3641182310426e-22,"radial glia","Parva"
"Rpl22l1",4.92128627903603e-27,0.789234955557053,1,0.868,1.37786173240451e-22,"radial glia","Rpl22l1"
"Cdkn3",9.16298561810655e-27,0.398027202196314,0.329,0.034,2.56545271335747e-22,"radial glia","Cdkn3"
"Idi1",1.98376328186127e-26,0.559705894844508,0.629,0.143,5.55414043655519e-22,"radial glia","Idi1"
"Thbs3",2.22286697683161e-26,0.446203522682461,0.571,0.114,6.22358296173314e-22,"radial glia","Thbs3"
"Mcm3",2.73982095521552e-26,0.487632198839219,0.5,0.084,7.67095071041241e-22,"radial glia","Mcm3"
"Bcl2",3.04816654736642e-26,0.525520803987111,0.643,0.138,8.53425669931651e-22,"radial glia","Bcl2"
"Smco4",8.85858711139188e-26,0.357101476438631,0.429,0.064,2.4802272194475e-21,"radial glia","Smco4"
"Rlbp1",1.0324823158944e-25,0.933207902321078,0.786,0.282,2.89074398804114e-21,"radial glia","Rlbp1"
"Sept10",2.64308541172189e-25,0.267317084305637,0.357,0.043,7.40011053573894e-21,"radial glia","Sept10"
"Gng12",3.37504388338385e-25,0.300330230377894,0.386,0.051,9.44944786469809e-21,"radial glia","Gng12"
"Gabrb1",4.60480369900672e-25,0.28496085272343,0.386,0.051,1.2892529396479e-20,"radial glia","Gabrb1"
"Prdx1",5.47571900008387e-25,0.857942981513352,0.971,0.657,1.53309180564348e-20,"radial glia","Prdx1"
"3110082J24Rik",6.58969544518553e-25,0.281388749383306,0.414,0.059,1.84498293074304e-20,"radial glia","3110082J24Rik"
"Hspa4l",7.54428924994252e-25,0.522226083187098,0.643,0.159,2.11225010419891e-20,"radial glia","Hspa4l"
"Hmgb2",8.42715604958691e-25,1.20258809309659,0.929,0.492,2.35943515076334e-20,"radial glia","Hmgb2"
"Lockd",8.96119049878065e-25,0.85151968670449,0.786,0.24,2.5089541158486e-20,"radial glia","Lockd"
"Thrsp",1.11015135115664e-24,0.43360301520193,0.3,0.031,3.10820175296837e-20,"radial glia","Thrsp"
"Erf",1.48161562501985e-24,0.305322507048705,0.357,0.045,4.14822742693058e-20,"radial glia","Erf"
"Id4",1.51476157583317e-24,0.45559490710253,0.7,0.17,4.24102946001772e-20,"radial glia","Id4"
"Zfyve21",1.65510454021178e-24,0.292413230949797,0.471,0.079,4.63396169168493e-20,"radial glia","Zfyve21"
"Tsen15",2.67360805724333e-24,0.420726377798466,0.671,0.162,7.48556783866987e-20,"radial glia","Tsen15"
"Pax6",2.69203027423789e-24,0.991950403300831,0.757,0.262,7.53714636181123e-20,"radial glia","Pax6"
"E530001K10Rik",3.9126433692749e-24,0.308837993142044,0.386,0.054,1.09546189052959e-19,"radial glia","E530001K10Rik"
"Npas3",4.09520398813918e-24,0.352861317516033,0.514,0.091,1.14657521259921e-19,"radial glia","Npas3"
"Rnaset2a",5.89006822258716e-24,0.291088389740002,0.429,0.067,1.64910130095995e-19,"radial glia","Rnaset2a"
"Klf3",6.9628699927884e-24,0.469093597274508,0.586,0.127,1.94946434058089e-19,"radial glia","Klf3"
"Nphp1",1.04119201188136e-23,0.271331088145279,0.343,0.043,2.91512939486542e-19,"radial glia","Nphp1"
"Actr3b",1.34851631819136e-23,0.376904610355591,0.414,0.066,3.77557598767218e-19,"radial glia","Actr3b"
"Tpbg",1.46929512565483e-23,0.251734598280517,0.3,0.032,4.1137324928084e-19,"radial glia","Tpbg"
"Fam210b",2.70920844699568e-23,0.866292324310506,0.814,0.327,7.5852418098985e-19,"radial glia","Fam210b"
"Prom1",4.28670416910682e-23,0.252029134104031,0.4,0.06,1.20019143326653e-18,"radial glia","Prom1"
